,url,title,total_score,text,price
0,https://www.google.com/maps/search/?api=1&query=Hawaiian%20Poke&query_place_id=ChIJNzQq2LgTcTERL1ifqLuKjio,hawaiian poke,4.8,Tôi và bạn trai tôi ăn poke lần đầu tiên . Thức ăn thật tươi và dịch vụ thật tuyệt vời . Tôi sẽ đến lại lần sau và giới,100-200 N ₫
1,https://www.google.com/maps/search/?api=1&query=Hawaiian%20Poke&query_place_id=ChIJNzQq2LgTcTERL1ifqLuKjio,hawaiian poke,4.8,Tôi đã thử xem poke là gì bởi vì nó khá lạ với tôi . Sau khi thưởng thức thì tôi rất thích nó . Một dạng ăn sashimi nhưng mình có thể tự chọn theo sở thích riêng . Tôi sẽ trở lại đây khi tôi đến Dalat,100-200 N ₫
2,https://www.google.com/maps/search/?api=1&query=G%C3%A0%20H%E1%BA%A7m%20Th%E1%BB%91%20%C4%90%C3%A1&query_place_id=ChIJH9zFiiITcTERQGR8KrKy3V0,gà hầm thố đá,4.8,"Là người hay viết blog du lịch, tôi luôn chú ý đến cách trình bày và chất món ăn. Cá tầm lá giang thố đá ở đây không chỉ ngon mà còn đẹp mắt. Nồi thố sôi lăn tăn, rau sống được xếp tinh tế, cá béo, không tanh. Không gian sáng, phục vụ tận tình. Một trải nghiệm ẩm thực đúng chất phố núi, rất đáng để giới thiệu trong danh sách quán ăn ngon Đà Lạt.",1-100.000 ₫
3,https://www.google.com/maps/search/?api=1&query=G%C3%A0%20H%E1%BA%A7m%20Th%E1%BB%91%20%C4%90%C3%A1&query_place_id=ChIJH9zFiiITcTERQGR8KrKy3V0,gà hầm thố đá,4.8,"Tôi đưa người bạn Hàn Quốc đến đây ăn bò hầm thố đá, bạn ấy rất thích vì món ăn lạ nhưng không khó ăn. Cách trình bày trong thố đá giữ được sự nóng và tạo điểm nhấn rất Việt Nam. Nhân viên biết tiếng Anh cơ bản, hỗ trợ chu đáo. Một quán ăn ngon Đà Lạt đáng giới thiệu nếu bạn có bạn bè nước ngoài muốn trải nghiệm món truyền thống theo cách hiện đại.",1-100.000 ₫
4,https://www.google.com/maps/search/?api=1&query=G%C3%A0%20H%E1%BA%A7m%20Th%E1%BB%91%20%C4%90%C3%A1&query_place_id=ChIJH9zFiiITcTERQGR8KrKy3V0,gà hầm thố đá,4.8,"Được bạn giới thiệu nên tôi ghé quán ăn gà hầm thố đá buổi trưa. Vừa bước vào đã thích không khí quán: sáng, sạch và không quá ồn. Món ăn đơn giản nhưng chất lượng. Gà ninh mềm, ăn kèm bánh mì và rau sống. Trà đá miễn phí, phục vụ nhẹ nhàng. Đây chắc chắn là một trong những quán ăn ngon Đà Lạt nên thử ít nhất một lần.",1-100.000 ₫
5,https://www.google.com/maps/search/?api=1&query=G%C3%A0%20H%E1%BA%A7m%20Th%E1%BB%91%20%C4%90%C3%A1&query_place_id=ChIJH9zFiiITcTERQGR8KrKy3V0,gà hầm thố đá,4.8,"Vì có lịch họp đầu giờ chiều nên tôi cần một quán ăn nhanh, gọn nhưng chất lượng. Bò hầm thố đá được phục vụ trong 7 phút, giữ nhiệt tốt, thịt mềm, nước đậm đà, ăn với bánh mì no vừa đủ. Nhân viên chuyên nghiệp, không gian sạch sẽ. Đây là nơi tôi sẽ quay lại nếu cần ăn trưa tại Đà Lạt một cách nhanh chóng nhưng vẫn trọn vẹn.",1-100.000 ₫
6,https://www.google.com/maps/search/?api=1&query=G%C3%A0%20H%E1%BA%A7m%20Th%E1%BB%91%20%C4%90%C3%A1&query_place_id=ChIJH9zFiiITcTERQGR8KrKy3V0,gà hầm thố đá,4.8,"Lần này tôi đi một mình nên muốn tìm quán dễ chịu, không quá đông. Chọn cá tầm lá giang thố đá, ăn kèm bún và rau sống. Vị cá tươi, nước hầm chua dịu, dễ chịu. Không gian gọn gàng, phục vụ không làm phiền, rất hợp cho người thích yên tĩnh. Tôi sẽ lưu lại đây làm điểm ăn tối tại Đà Lạt cho các lần công tác hoặc đi chơi tiếp theo.",1-100.000 ₫
7,https://www.google.com/maps/search/?api=1&query=G%C3%A0%20H%E1%BA%A7m%20Th%E1%BB%91%20%C4%90%C3%A1&query_place_id=ChIJH9zFiiITcTERQGR8KrKy3V0,gà hầm thố đá,4.8,"Tôi lần đầu du lịch Đà Lạt và được homestay gần đó gợi ý quán này. Gọi món gà hầm thố đá theo kiểu thử đại nhưng lại rất hài lòng. Thịt gà chắc, nấu thơm, nước dùng không ngấy. Nhân viên hỗ trợ nhiệt tình, còn giới thiệu thêm món đặc trưng của quán. Không gian sáng sủa, dễ chịu. Một quán ăn ngon Đà Lạt đáng lưu lại cho những ai chưa biết ăn gì.",1-100.000 ₫
8,https://www.google.com/maps/search/?api=1&query=Goc%20ha%20thanh&query_place_id=ChIJpWohSykTcTERwN0IPtYQpqw,goc ha thanh,4.4,"Điều quan trọng là phải hiểu rằng đây là một nhà hàng ưa thích. Đánh giá dựa trên chất lượng của thực phẩm cho giá cả.. Tôi phải thừa nhận rằng đồ ăn Việt Nam nói chung là khá ngon như tôi mong đợi.. Đây là một ngoại lệ thực sự. Chúng tôi chỉ ở Đà Lạt vài ngày nhưng đến đây hai lần. Tất cả mọi thứ chúng tôi đã thực sự ngon.. Cà ri gà và dừa là đặc biệt tốt. Người dân thực sự thân thiện và duyên dáng. Và tất nhiên giá là công bằng.. Nếu tôi trở lại Đà Lạt vào ngày mai, thì đây là nơi tôi đầu tiên!",100-200 N ₫
9,https://www.google.com/maps/search/?api=1&query=Goc%20ha%20thanh&query_place_id=ChIJpWohSykTcTERwN0IPtYQpqw,goc ha thanh,4.4,"Thức ăn rất ngon và giá cả hợp lý! Tôi đã có món cà ri dừa tôm với cơm và nó thật tuyệt vời, một trong những điều đẹp nhất tôi từng có ở Việt Nam. Chắc chắn sẽ đề nghị nơi này!",100-200 N ₫
